trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2123823,10,248818,Penn Station New York,3244,0,3244,20,
2123824,10,248818,Long Branch,4344,0,4344,10,
2123825,10,248818,Long Branch,4352,0,4352,10,
2123826,10,248818,Long Branch,4360,0,4360,10,
2123827,10,248818,Penn Station New York,3510,0,3510,20,
2123828,10,248818,Penn Station New York,3598,0,3598,20,
2123829,10,248818,Penn Station New York,3512,0,3512,20,
2123830,10,248818,Long Branch,4372,0,4372,10,
2123831,10,248818,Penn Station New York,3514,0,3514,20,
2123832,10,248818,Penn Station New York,3278,0,3278,20,
2123833,10,248818,Long Branch,4378,0,4378,10,
2123834,10,248818,Penn Station New York,3284,0,3284,20,
2123835,10,248818,Long Branch,4384,0,4384,10,
2123836,10,248818,Penn Station New York,3288,0,3288,20,
2123837,10,248818,Penn Station New York,3292,0,3292,20,
2123838,10,248818,Long Branch,4392,0,4392,10,
2123839,10,248818,Long Branch,3215,1,3215,120,
2123840,10,248818,Long Branch,3217,1,3217,120,
2123841,10,248818,Long Branch,3221,1,3221,120,
2123842,10,248818,Long Branch,3223,1,3223,120,
2123843,10,248818,Long Branch,3227,1,3227,120,
2123844,10,248818,Long Branch,3231,1,3231,120,
2123845,10,248818,Bay Head,4351,1,4351,110,
2123846,10,248818,Bay Head,4355,1,4355,110,
2123847,10,248818,Long Branch,3281,1,3281,120,
2123848,10,248818,Long Branch,3283,1,3283,120,
2123849,10,248818,Long Branch,3285,1,3285,120,
2123850,10,248818,Long Branch,3289,1,3289,120,
2123851,10,248818,Long Branch,3293,1,3293,120,
2123852,10,248818,Long Branch,3297,1,3297,120,
2123853,10,248818,Long Branch,3201,1,3201,120,
2123854,10,248818,Long Branch,3205,1,3205,120,
2123855,9,248818,Trenton Station,3837,1,3837,109,
2123856,7,248818,Summit,6307,1,6307,127,
2123857,2,248818,Penn Station New York,6242,0,6242,22,
2123859,14,248818,Princeton Station,4175,1,4175,114,
2123860,14,248818,Princeton Station,4177,1,4177,114,
2123861,14,248818,Princeton Junction,4178,0,4178,14,
2123862,14,248818,Princeton Station,4179,1,4179,114,
2123863,10,248818,Bay Head,4379,1,4379,110,
2123864,15,248818,Newark Penn Station,5422,0,5422,15,
2123865,7,248818,Dover,0643,1,0643,107,
2123866,2,248818,Montclair State University,0267,1,0267,102,
2123867,10,248818,Long Branch,3239,1,3239,120,
2123868,10,248818,Long Branch,3247,1,3247,120,
2123869,10,248818,Penn Station New York,3252,0,3252,20,
2123870,10,248818,Penn Station New York,3256,0,3256,20,
2123871,10,248818,Penn Station New York,3260,0,3260,20,
2123872,10,248818,Penn Station New York,3270,0,3270,20,
2123873,10,248818,Penn Station New York,3272,0,3272,20,
2123874,10,248818,Long Branch,3243,1,3243,120,
2123875,10,248818,Penn Station New York,3266,0,3266,20,
2123876,10,248818,Penn Station New York,3248,0,3248,20,
2123877,10,248818,Long Branch,3235,1,3235,120,
2123878,10,248818,Long Branch,3241,1,3241,120,
2123879,10,248818,Long Branch,3251,1,3251,120,
2123880,10,248818,Long Branch,3271,1,3271,120,
2123881,9,248818,Trenton Station,3861,1,3861,109,
2123882,9,248818,Jersey Avenue,3735,1,3735,109,
2123883,8,248818,Gladstone,6437,1,6437,128,
2123884,14,248818,Princeton Station,4141,1,4141,114,
2123885,9,248818,Penn Station New York,3984,0,3984,9,
2123886,9,248818,Penn Station New York,3806,0,3806,9,
2123887,10,248818,South Amboy,3503,1,3503,120,
2123888,6,248818,Hoboken,0044,0,0044,35,
2123889,6,248818,Hoboken,0046,0,0046,35,
2123890,9,248818,Trenton Station,3895,1,3895,109,
2123892,9,248818,Trenton Station,3801,1,3801,109,
2123893,7,248818,Penn Station New York,6616,0,6616,27,
2123894,6,248818,Hoboken,1204,0,1204,25,
2123895,6,248818,Hoboken,1206,0,1206,25,
2123896,6,248818,Waldwick,1221,1,1221,125,
2123897,13,248818,Hoboken,1614,0,1614,13,
2123898,13,248818,New Bridge Landing,1651,1,1651,113,
2123899,13,248818,Hoboken,1650,0,1650,13,
2123900,13,248818,Hoboken,1652,0,1652,13,
2123901,6,248818,Hoboken,1210,0,1210,25,
2123902,13,248818,Hoboken,1616,0,1616,13,
2123903,13,248818,Hoboken,1620,0,1620,13,
2123904,13,248818,Hoboken,1618,0,1618,13,
2123905,10,248818,Long Branch,3267,1,3267,120,
2123907,5,248818,Suffern,1183,1,1183,105,
2123908,5,248818,Hoboken,0066,0,0066,45,
2123910,9,248818,Penn Station New York,3704,0,3704,9,
